iter	Passed	Remaining
0	0	84
1	1	96
2	3	100
3	4	98
4	5	100
5	6	104
6	7	102
7	8	102
8	9	100
9	10	96
10	11	93
11	12	91
12	13	88
13	14	86
14	14	84
15	15	82
16	16	80
17	17	78
18	18	77
19	18	75
20	19	73
21	20	72
22	21	71
23	21	69
24	22	67
25	23	65
26	23	63
27	24	61
28	24	60
29	25	58
30	25	57
31	26	55
32	27	55
33	27	54
34	28	53
35	29	52
36	29	50
37	30	49
38	30	48
39	31	47
40	32	46
41	32	44
42	32	43
43	33	42
44	33	41
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	35
51	37	34
52	38	33
53	38	33
54	39	32
55	39	31
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	46	23
66	46	23
67	47	22
68	47	21
69	48	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	51	16
76	52	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	56	10
85	57	9
86	57	8
87	58	7
88	58	7
89	59	6
90	60	5
91	60	5
92	61	4
93	62	3
94	62	3
95	63	2
96	63	1
97	64	1
98	64	0
99	65	0
